name,birth_date,nationality,age,team,position,draft_pick,draft_year,college,nba_championships,mvp_awards,olympic_gold_medals,fiba_world_cup,ID
Antonius Cleveland  ,1994/2/2,American  ,31,Lokomotiv Kuban  ,,0,0,Southeast Missouri State University  ,0,0,0,0,1
Jay Vincent Jay Fletcher Vincent  ,1959/6/10,American  ,66,Los Angeles Lakers,Frontcourt,24,1981,Michigan State Spartans  ,0,0,0,0,2
Nikola Radi?evi?  ,1994/4/25,Serbian  ,31,Cedevita Olimpija  ,Backcourt,57,2015, ,0,0,0,0,3
Fran Curran Francis Hugh Curran Sr.,1922/9/9,American,103,Rochester Royals,,0,0,University of Notre Dame,0,0,0,0,4
Mark Price  ,1964/2/15,American  ,61,Orlando Magic,Backcourt,25,1986,Georgia Tech  ,0,0,0,1,5
David Michineau  ,1994/6/6,French  ,31,Bursaspor Basketbol  ,Backcourt,0,2016, ,0,0,0,0,6
Donta Hall  ,1997/8/7,American-born naturalized Azerbaijani  ,28,Saski Baskonia,,0,0,Alabama  ,0,0,0,0,7
Erick Strickland  ,1973/11/25,American  ,51,Milwaukee Bucks,,0,0,University of Nebraska,0,0,0,0,8
David Lattin  ,1943/12/23,American  ,81, New Orleans Jazz,Frontcourt,10,1967,Texas Western College  ,0,0,0,0,9
Toby Kimball  ,1942/9/7,American  ,83, New Orleans Jazz,Frontcourt,0,0,University of Connecticut  ,0,0,0,0,10
Derek Grimm  ,1974/8/3,American  ,51,Sacramento Kings  ,Frontcourt,0,0,University of Missouri  ,0,0,0,0,11
Anthony Marshon Davis Jr.,1993/3/11,American,32,Los Angeles Lakers,Frontcourt,1,2012,Kentucky,1,1,2,1,12
Brandan Keith Wright  ,1987/10/5,American  ,37,Houston Rockets  ,,8,2007,University of North Carolina at Chapel Hill  ,0,0,0,0,13
Askia Rahman Jones  ,1971/12/3,American-Venezuelan  ,53,Guaros de Lara,Backcourt,0,0,Kansas State University  ,0,0,0,0,14
Carrick Felix  ,1990/8/17,American  ,35, Melbourne United,Backcourt,33,2013,Arizona State  ,0,0,0,0,15
Mychel Thompson  ,1988/6/1,American  ,37, Santa Cruz Warriors,Backcourt,0,0,Pepperdine University  ,0,0,0,0,16
Marvin Roberts,1950/1/29,American,75,,,45,1971,Utah State University,0,0,0,0,17
Kenneth "Apple" Green  ,1959/9/19,American  ,66,New York Knicks  ,,11,1981,Pan American University  ,0,0,0,0,18
Gerald Madkins Jr.,1969/4/18,American,56,Grand Rapids Hoops,,0,0,"University of California, Los Angeles",0,0,0,0,19
Don Anielak  ,1930/11/1,American  ,95,New York Knicks  ,,26,1954,Southwest Missouri State University  ,0,0,0,0,20
Philip Douglas Jackson  ,1945/9/17,American  ,80, Los Angeles Lakers,Frontcourt,2,1967,University of North Dakota  ,13,0,0,0,21
Anthony Avent  ,1969/10/18,American  ,56, PAOK Thessaloniki,Frontcourt,15,1991,Seton Hall University  ,0,0,0,0,22
Drew Edward Gordon  ,1990/7/12,American  ,33,Philadelphia 76ers  ,Frontcourt,0,0,UCLA  ,0,0,0,0,23
Jarrett Jack  ,1983/10/28,American  ,41,Detroit Pistons  ,,22,2005,Georgia Tech  ,0,0,0,0,24
Rick Hughes  ,1973/8/22,American  ,52, HTV Basket,,0,0,Thomas More College  ,0,0,0,0,25
Lavoy Allen  ,1989/2/4,American  ,36,Philadelphia 76ers  ,,50,2011,Temple University  ,0,0,0,0,26
Ed Dahler Edward Dahler Jr.,1926/1/31,American,99,Philadelphia Warriors,,14,1950,Duquesne,0,0,0,0,27
Magic Johnson  ,1959/8/14,American  ,66,Los Angeles Lakers,Backcourt,1,1979,Michigan State  ,5,3,1,0,28
Stanley M. Noszka  ,1920/9/19, ,105, Boston Celtics,,0,0, ,0,0,0,0,29
Isiah Thomas  ,1961/4/30,American  ,64,Detroit Pistons  ,Backcourt,2,1981,Indiana Hoosiers  ,2,1,0,0,30
Dan Anderson,1951/1/1,American,74,Portland Trail Blazers,,2,1974,,0,0,0,0,31
Jahlil Okafor,1995/12/15,Nigerian-American,30,Capitanes de Arecibo,,3,2015,Duke,1,0,0,1,32
Trent Tucker  ,1959/12/20,American  ,65,Chicago Bulls  ,Backcourt,6,1982,University of Minnesota  ,1,0,0,0,33
Dwayne Kenneth Schintzius  ,1968/10/14,American  ,57, Brevard Blue Ducks,Frontcourt,24,1990,University of Florida  ,0,0,0,0,34
Miles Julian Simon  ,1975/11/21,American  ,49,Phoenix Suns  ,Backcourt,0,0,University of Arizona  ,1,0,0,0,35
